relative_time,BarometerSensor
57400,1017.2423706054688
57436,1017.2742919921875
57517,1017.248779296875
57598,1017.2334594726562
57637,1017.2526245117188
57717,1017.2572631835938
57801,1017.224365234375
57837,1017.247314453125
57919,1017.247314453125
57997,1017.2275390625
58037,1017.2326049804688
58117,1017.2711181640625
58197,1017.248779296875
58238,1017.2374877929688
58316,1017.234130859375
58397,1017.2564086914062
58437,1017.2464599609375
58519,1017.2498168945312
58597,1017.2640991210938
58636,1017.2483520507812
58719,1017.2377319335938
58797,1017.2354125976562
58837,1017.2394409179688
58922,1017.2555541992188
58997,1017.2708740234375
59036,1017.2432250976562
59117,1017.255126953125
59196,1017.263671875
59236,1017.2583618164062
59317,1017.2608642578125
59396,1017.2474975585938
59437,1017.2608642578125
59517,1017.2534790039062
59597,1017.263671875
59638,1017.2496337890625
59717,1017.2647094726562
59797,1017.24560546875
59838,1017.2260131835938
59917,1017.2755737304688
59997,1017.2576904296875
60036,1017.2647094726562
60117,1017.260009765625
60197,1017.24072265625
60237,1017.2628173828125
60317,1017.2672729492188
60397,1017.2457885742188
60437,1017.2506713867188
60518,1017.2689819335938
60596,1017.25048828125
60636,1017.220703125
60717,1017.2496337890625
60796,1017.2593994140625
60837,1017.2572631835938
60917,1017.2457885742188
60997,1017.25048828125
61037,1017.2640991210938
61118,1017.2628173828125
61198,1017.2500610351562
61237,1017.2368774414062
61318,1017.2440795898438
61397,1017.2640991210938
61437,1017.2451782226562
61517,1017.248779296875
61597,1017.2899780273438
61637,1017.2695922851562
61717,1017.2596435546875
61799,1017.2778930664062
61837,1017.2632446289062
61917,1017.2598266601562
61997,1017.2334594726562
62037,1017.24072265625
62117,1017.2477416992188
62199,1017.24365234375
62237,1017.2625732421875
62317,1017.2736206054688
62397,1017.271484375
62436,1017.2510986328125
62517,1017.2661743164062
62598,1017.2666015625
62637,1017.2719116210938
62717,1017.2770385742188
62802,1017.2659912109375
62836,1017.26171875
62917,1017.2562255859375
62997,1017.2337036132812
63036,1017.2606811523438
63120,1017.2381591796875
63197,1017.2400512695312
63236,1017.2460327148438
63320,1017.2534790039062
63397,1017.2500610351562
63437,1017.237060546875
63521,1017.2534790039062
63597,1017.2481689453125
63636,1017.2349853515625
63718,1017.2608642578125
63797,1017.2205200195312
63836,1017.2383422851562
63917,1017.2564086914062
63996,1017.2575073242188
64037,1017.2466430664062
64117,1017.2523803710938
64197,1017.257080078125
64238,1017.2440795898438
64316,1017.2564086914062
64397,1017.2678833007812
64438,1017.24853515625
64516,1017.2402954101562
64597,1017.2833862304688
64637,1017.2506713867188
64717,1017.2464599609375
64798,1017.23876953125
